t,FP1-F7,F7-T7,T7-P7,P7-O1
2990.2265625,-10.4,-7.2,-3.3,12.3
2990.23046875,-0.2,-9.6,-1.0,8.0
2990.234375,7.6,-4.1,0.6,-1.4
2990.23828125,18.2,1.8,-0.2,-6.8
2990.2421875,24.8,5.7,1.0,-10.0
2990.24609375,27.2,8.4,3.3,-6.8
2990.25,27.2,9.6,5.7,-2.9
2990.25390625,25.2,8.4,9.6,0.2
2990.2578125,24.0,5.7,13.5,2.5
2990.26171875,21.7,5.7,13.1,3.7
2990.265625,21.3,2.9,15.4,4.5
2990.26953125,24.4,0.2,18.6,3.3
2990.2734375,20.5,4.9,20.1,1.0
2990.27734375,14.3,7.6,20.1,0.6
2990.28125,8.4,2.9,19.3,1.0
2990.28515625,-0.6,-1.0,16.6,0.2
2990.2890625,-19.7,-4.9,13.9,1.4
2990.29296875,-29.5,-8.0,15.8,-5.3
2990.296875,-33.8,-7.2,18.6,-14.3
2990.30078125,-36.5,-5.3,19.3,-16.6
2990.3046875,-33.4,-2.1,20.9,-20.5
2990.30859375,-27.2,-0.2,19.7,-21.7
2990.3125,-22.9,1.4,15.0,-17.8
2990.31640625,-11.9,4.5,14.7,-18.6
2990.3203125,1.0,6.1,15.0,-18.2
2990.32421875,10.0,9.2,17.4,-15.4
2990.328125,18.2,15.0,20.5,-13.1
2990.33203125,32.2,17.4,26.0,-15.8
2990.3359375,43.2,22.5,27.5,-17.0
2990.33984375,43.6,26.4,29.9,-14.7
2990.34375,43.2,26.4,33.0,-12.3
2990.34765625,38.9,19.7,34.2,-5.3
2990.3515625,28.3,11.9,36.1,2.5
2990.35546875,18.2,12.3,39.3,0.2
2990.359375,14.3,16.6,39.3,-10.0
2990.36328125,10.7,16.2,35.4,-9.6
2990.3671875,7.2,15.8,35.0,-13.9
2990.37109375,3.3,13.5,32.2,-17.0
2990.375,-1.8,11.9,27.9,-15.4
2990.37890625,-5.3,11.1,23.6,-15.8
2990.3828125,-3.3,11.9,19.3,-20.1
2990.38671875,2.9,11.5,12.3,-21.7
2990.390625,3.7,13.1,7.2,-23.6
2990.39453125,4.1,14.3,2.1,-29.9
2990.3984375,10.4,11.5,-1.8,-36.5
2990.40234375,13.1,9.2,-4.5,-38.9
2990.40625,9.2,9.6,-3.7,-42.0
2990.41015625,9.6,12.7,-1.4,-44.7
2990.4140625,10.0,9.6,3.3,-37.3
2990.41796875,8.4,11.9,8.4,-36.1
2990.421875,14.3,15.8,11.5,-42.8
2990.42578125,20.1,12.7,11.1,-38.9
2990.4296875,19.3,10.7,9.6,-34.6
2990.43359375,19.3,9.2,10.0,-34.2
2990.4375,17.0,6.4,10.4,-28.7
2990.44140625,8.8,4.1,7.6,-26.0
2990.4453125,3.3,3.7,4.9,-27.5
2990.44921875,0.2,0.2,2.5,-27.2
2990.453125,-2.5,-4.5,-0.6,-25.2
2990.45703125,-9.6,-2.9,-0.6,-27.5
2990.4609375,-11.9,-0.6,0.2,-28.3
2990.46484375,-8.0,-4.1,1.0,-25.6
2990.46875,-5.7,-8.8,2.5,-22.5
2990.47265625,-5.7,-8.0,6.4,-18.9
2990.4765625,-8.0,-9.6,10.7,-10.0
2990.48046875,-3.7,-11.1,13.1,-10.4
2990.484375,-0.2,-7.2,16.2,-17.0
2990.48828125,9.2,-2.9,17.0,-21.3
2990.4921875,16.6,-1.8,17.8,-22.9
2990.49609375,19.7,0.2,19.3,-21.7
2990.5,21.3,0.2,22.1,-19.3
2990.50390625,21.3,-2.9,23.2,-18.2
2990.5078125,18.9,-6.4,22.9,-20.5
2990.51171875,13.1,-8.0,20.1,-22.1
2990.515625,9.6,-11.5,17.0,-22.5
2990.51953125,6.8,-14.3,15.4,-26.0
2990.5234375,-2.1,-8.8,10.4,-28.7
2990.52734375,-10.7,-5.3,6.8,-29.5
2990.53125,-10.7,-5.3,6.8,-29.1
2990.53515625,-15.4,-3.3,6.1,-28.3
2990.5390625,-25.6,1.0,6.4,-24.8
2990.54296875,-27.9,4.5,10.0,-29.5
2990.546875,-27.5,8.4,6.8,-32.6
2990.55078125,-26.4,8.4,4.9,-30.7
2990.5546875,-23.2,6.8,5.7,-28.7
2990.55859375,-20.1,4.9,6.8,-24.4
2990.5625,-17.8,5.7,8.4,-16.6
2990.56640625,-13.1,7.2,12.3,-11.9
2990.5703125,-4.1,8.8,15.4,-9.6
2990.57421875,-1.0,12.7,13.9,-3.7
2990.578125,-1.0,15.4,14.3,-0.2
2990.58203125,2.1,13.5,16.6,-0.6
2990.5859375,3.7,12.7,17.8,2.1
2990.58984375,-1.0,14.3,20.5,5.3
2990.59375,-4.9,14.3,23.6,7.2
2990.59765625,-6.4,11.5,25.2,11.5
2990.6015625,-13.1,10.0,24.0,18.2
2990.60546875,-17.0,13.9,24.4,16.2
2990.609375,-13.5,18.2,25.2,9.2
2990.61328125,-9.6,18.9,18.6,11.5
2990.6171875,-8.4,19.7,16.2,9.6
2990.62109375,-6.1,16.6,15.8,7.2
2990.625,-9.2,13.1,12.3,11.1
2990.62890625,-14.3,9.2,9.2,15.0
2990.6328125,-15.8,2.9,6.8,13.1
2990.63671875,-15.4,-6.8,0.2,12.7
2990.640625,-20.1,-10.0,-3.3,11.9
2990.64453125,-19.7,-10.7,-2.1,5.7
2990.6484375,-10.4,-12.7,1.4,1.0
2990.65234375,-5.7,-13.9,3.7,4.5
2990.65625,-8.0,-11.9,4.9,8.8
2990.66015625,-14.3,-12.7,5.7,10.7
2990.6640625,-20.9,-19.3,5.7,20.9
2990.66796875,-27.2,-16.2,7.6,19.7
2990.671875,-26.0,-8.8,11.1,7.2
2990.67578125,-19.3,-7.2,9.2,5.3
2990.6796875,-18.9,-4.1,8.4,4.5
2990.68359375,-18.6,-2.1,9.6,2.5
2990.6875,-17.8,-3.7,10.0,3.3
2990.69140625,-19.3,-1.4,10.0,1.0
2990.6953125,-17.0,1.4,6.8,-3.3
2990.69921875,-10.0,1.0,2.1,-8.8
2990.703125,-4.9,-3.3,-1.0,-10.4
2990.70703125,-4.9,-5.3,-3.7,-10.7
2990.7109375,-2.1,-7.2,-3.3,-13.9
2990.71484375,4.5,-14.3,-4.1,-13.1
2990.71875,8.4,-20.1,-4.9,-12.7
2990.72265625,5.3,-21.7,-5.7,-12.3
2990.7265625,-1.8,-24.4,-6.8,-6.1
2990.73046875,-0.2,-29.5,-6.4,-5.7
2990.734375,-4.5,-27.2,-4.5,-8.4
2990.73828125,3.3,-23.6,-4.1,-11.9
2990.7421875,8.0,-21.3,-3.7,-13.1
2990.74609375,7.2,-16.6,-4.5,-10.0
2990.75,5.3,-13.9,-2.9,-5.7
2990.75390625,2.9,-13.1,-2.1,-1.0
2990.7578125,-1.8,-10.0,0.6,0.6
2990.76171875,-6.8,-8.0,3.3,1.4
2990.765625,-4.1,-9.2,5.7,0.6
2990.76953125,-1.4,-10.4,4.9,-0.6
2990.7734375,-2.1,-8.4,1.8,-2.1
2990.77734375,-1.0,-6.1,-2.9,-1.4
2990.78125,3.3,-8.8,-5.7,2.5
2990.78515625,6.1,-10.4,-7.2,6.8
2990.7890625,1.0,-10.4,-7.6,13.9
2990.79296875,3.7,-11.1,-5.3,13.5
2990.796875,6.1,-10.7,-3.3,11.9
2990.80078125,6.4,-10.4,-2.9,14.3
2990.8046875,6.1,-9.6,0.6,13.1
2990.80859375,2.9,-8.8,5.7,15.0
2990.8125,-2.1,-7.2,7.6,20.1
2990.81640625,-3.7,-6.4,12.7,18.9
2990.8203125,-0.2,-6.4,16.2,17.0
2990.82421875,-2.1,-4.1,17.8,18.6
2990.828125,-6.1,-3.7,18.9,18.6
2990.83203125,-3.7,-7.2,19.7,15.4
2990.8359375,-5.7,-9.2,19.7,15.0
2990.83984375,-11.9,-8.8,17.4,17.0
2990.84375,-15.0,-9.2,16.6,17.4
2990.84765625,-16.6,-13.1,16.2,19.7
2990.8515625,-20.1,-20.1,15.0,26.8
2990.85546875,-22.5,-17.0,14.7,18.9
2990.859375,-17.0,-13.9,11.9,10.0
2990.86328125,-11.5,-14.3,4.9,14.7
2990.8671875,-8.4,-12.7,1.4,13.9
2990.87109375,-6.1,-12.3,1.4,15.0
2990.875,-8.0,-11.1,4.1,19.3
2990.87890625,-12.7,-8.0,9.6,19.3
2990.8828125,-10.4,-1.4,16.6,14.7
2990.88671875,-5.3,4.9,20.1,13.9
2990.890625,-3.3,11.5,22.5,14.3
2990.89453125,0.2,18.6,22.9,11.5
2990.8984375,10.0,17.8,24.4,9.6
2990.90234375,16.6,13.1,24.0,12.3
2990.90625,15.0,11.5,23.6,15.8
2990.91015625,11.5,11.1,24.4,17.0
2990.9140625,5.3,3.7,23.2,25.2
2990.91796875,-2.5,2.5,23.6,21.3
2990.921875,-7.6,4.1,27.2,6.1
2990.92578125,-8.8,-0.6,24.8,0.6
2990.9296875,-12.3,-2.5,24.8,-2.9
2990.93359375,-14.3,-2.9,25.2,-6.4
2990.9375,-14.7,-6.8,27.2,-6.8
2990.94140625,-17.0,-6.4,29.1,-9.2
2990.9453125,-18.9,-4.1,31.5,-14.7
2990.94921875,-14.7,-2.9,34.2,-19.3
2990.953125,-12.3,-0.2,36.9,-22.1
2990.95703125,-11.1,7.6,39.7,-26.4
2990.9609375,-6.4,18.9,41.2,-33.0
2990.96484375,2.1,20.9,42.0,-33.4
2990.96875,6.4,24.0,40.0,-30.7
2990.97265625,6.4,27.9,35.4,-28.3
2990.9765625,2.5,27.2,26.8,-18.2
2990.98046875,6.1,21.3,18.2,-14.7
2990.984375,11.1,18.6,10.7,-21.7
2990.98828125,18.6,11.1,-1.0,-20.5
2990.9921875,24.8,2.1,-9.6,-20.1
2990.99609375,26.0,-4.5,-19.3,-15.0
2991.0,23.6,-10.7,-27.2,-5.7
2991.00390625,19.7,-15.4,-30.7,-0.2
2991.0078125,11.5,-15.4,-31.8,1.4
2991.01171875,0.6,-14.7,-30.7,3.3
2991.015625,-4.5,-17.8,-26.4,1.0
2991.01953125,-9.2,-18.9,-20.9,-3.7
2991.0234375,-15.4,-14.3,-15.4,-9.2
2991.02734375,-24.0,-10.4,-10.7,-14.7
2991.03125,-27.9,-8.8,-5.3,-19.7
2991.03515625,-35.8,-5.3,-0.6,-24.4
2991.0390625,-50.6,0.6,1.8,-24.4
2991.04296875,-51.8,3.7,6.4,-30.7
2991.046875,-49.4,9.2,8.4,-36.1
2991.05078125,-44.0,13.1,4.5,-34.2
2991.0546875,-35.0,14.7,4.1,-37.7
2991.05859375,-26.4,18.2,2.5,-39.7
2991.0625,-21.3,22.5,0.2,-38.1
2991.06640625,-13.5,24.0,1.8,-38.9
2991.0703125,-4.1,26.8,2.1,-38.1
2991.07421875,0.2,29.9,1.0,-31.5
2991.078125,3.3,31.8,-0.6,-24.8
2991.08203125,11.5,29.1,-1.0,-22.5
2991.0859375,18.9,25.2,-3.3,-22.5
2991.08984375,17.4,22.9,-6.8,-19.3
2991.09375,14.7,17.8,-8.0,-14.3
2991.09765625,13.5,10.4,-7.6,-6.1
2991.1015625,6.4,1.0,-10.0,6.8
2991.10546875,-1.4,0.2,-8.4,6.4
2991.109375,-5.7,-1.4,-5.3,0.2
2991.11328125,-9.2,-5.7,-8.4,4.1
2991.1171875,-16.2,-8.0,-5.7,2.9
2991.12109375,-21.3,-10.4,-2.1,4.1
2991.125,-25.6,-13.1,0.2,6.4
2991.12890625,-31.1,-11.1,2.5,4.9
2991.1328125,-29.9,-11.1,6.1,1.4
2991.13671875,-26.8,-11.5,5.3,-0.2
2991.140625,-27.5,-8.4,3.3,1.8
2991.14453125,-26.0,-2.5,4.1,0.2
2991.1484375,-15.8,-0.6,6.1,-2.5
2991.15234375,-7.6,1.0,6.1,-2.1
2991.15625,-5.7,4.5,4.9,-0.6
2991.16015625,-1.4,4.5,2.9,0.2
2991.1640625,2.1,-2.9,-3.7,6.8
2991.16796875,3.3,-3.7,-7.2,6.1
2991.171875,10.7,-0.6,-5.7,-5.3
2991.17578125,20.1,-1.8,-7.2,-10.0
2991.1796875,22.1,-2.1,-10.0,-10.0
2991.18359375,24.0,-4.1,-9.2,-13.5
2991.1875,23.2,-12.7,-11.1,-10.7
2991.19140625,16.6,-20.1,-12.3,-6.8
2991.1953125,10.7,-24.0,-10.7,-7.6
2991.19921875,7.6,-30.3,-7.2,-6.1
2991.203125,4.9,-36.1,-6.8,-4.1
2991.20703125,-1.8,-36.1,-6.1,-3.7
2991.2109375,-8.8,-33.8,-7.6,-4.9
2991.21484375,-11.1,-39.3,-11.1,0.2
2991.21875,-17.0,-41.2,-15.4,6.4
2991.22265625,-27.5,-38.1,-17.0,9.6
2991.2265625,-37.3,-39.3,-17.8,19.3
2991.23046875,-37.7,-38.1,-17.4,21.3
2991.234375,-35.4,-33.4,-16.6,18.2
2991.23828125,-27.5,-31.8,-18.9,22.9
2991.2421875,-18.2,-31.1,-19.7,26.8
2991.24609375,-11.1,-29.5,-22.1,36.5
2991.25,-3.7,-28.7,-20.1,43.6
2991.25390625,5.7,-27.9,-16.2,45.9
2991.2578125,11.9,-24.0,-14.3,47.1
2991.26171875,17.0,-19.3,-15.8,46.3
2991.265625,25.6,-20.1,-18.9,48.6
2991.26953125,30.7,-21.7,-21.7,49.0
2991.2734375,29.9,-19.7,-27.2,49.0
2991.27734375,26.8,-20.9,-29.5,48.6
2991.28125,25.2,-29.1,-30.7,50.2
2991.28515625,20.5,-33.8,-33.4,50.6
2991.2890625,7.2,-35.0,-39.7,54.1
2991.29296875,2.1,-35.4,-43.6,50.2
2991.296875,-1.8,-32.2,-45.9,42.4
2991.30078125,-4.5,-29.9,-48.3,40.0
2991.3046875,-2.9,-25.2,-45.5,34.6
2991.30859375,-0.2,-20.1,-43.2,31.8
2991.3125,0.2,-12.7,-45.5,31.8
2991.31640625,5.7,-6.8,-47.5,29.1
2991.3203125,15.4,-0.6,-48.6,26.8
2991.32421875,21.3,6.1,-47.1,27.2
2991.328125,29.9,13.5,-41.2,28.3
2991.33203125,44.0,21.7,-37.7,25.6
2991.3359375,57.2,27.5,-37.3,22.9
2991.33984375,62.3,32.6,-40.8,20.9
2991.34375,66.6,36.1,-44.7,16.6
2991.34765625,71.7,32.2,-44.3,12.3
2991.3515625,72.1,26.0,-39.7,10.0
2991.35546875,68.6,27.2,-35.8,0.2
2991.359375,70.9,28.3,-35.0,-12.7
2991.36328125,68.6,21.7,-40.4,-13.9
2991.3671875,64.3,15.8,-42.0,-22.5
2991.37109375,60.8,10.0,-42.0,-29.9
2991.375,52.2,3.3,-39.7,-34.2
2991.37890625,41.6,1.4,-35.8,-38.5
2991.3828125,35.0,1.8,-36.9,-39.7
2991.38671875,27.9,0.2,-38.9,-36.5
2991.390625,15.4,0.2,-40.4,-31.8
2991.39453125,6.8,6.8,-42.4,-27.9
2991.3984375,7.6,7.6,-40.8,-23.2
2991.40234375,8.4,9.6,-37.7,-15.4
2991.40625,7.2,15.4,-34.2,-6.1
2991.41015625,11.1,21.3,-29.1,-2.5
2991.4140625,13.5,21.3,-24.4,7.6
2991.41796875,16.2,28.3,-21.7,6.8
2991.421875,26.8,37.7,-22.5,-0.6
2991.42578125,38.5,38.5,-26.4,1.8
2991.4296875,46.3,41.2,-30.3,4.9
2991.43359375,53.7,42.4,-31.5,6.4
2991.4375,57.6,37.3,-29.5,8.4
2991.44140625,53.7,35.4,-27.2,10.4
2991.4453125,49.0,35.8,-25.2,7.6
2991.44921875,47.9,31.8,-22.1,5.3
2991.453125,44.3,29.5,-20.1,5.3
2991.45703125,35.8,31.5,-19.3,2.1
2991.4609375,29.9,29.5,-18.2,-2.9
2991.46484375,24.4,23.2,-20.1,-2.9
2991.46875,16.6,18.2,-19.7,-3.3
2991.47265625,5.3,17.8,-18.9,-8.4
2991.4765625,-8.0,17.4,-21.3,-4.5
2991.48046875,-11.9,17.4,-21.3,-8.0
2991.484375,-13.1,22.9,-19.7,-17.4
2991.48828125,-7.2,26.4,-20.5,-22.1
2991.4921875,0.2,31.1,-16.6,-27.9
2991.49609375,6.1,35.8,-11.5,-31.5
2991.5,13.9,39.3,-7.2,-32.2
2991.50390625,22.9,40.8,-2.9,-33.0
2991.5078125,28.7,45.5,0.2,-33.8
2991.51171875,33.0,47.9,1.4,-31.1
2991.515625,39.3,44.3,3.7,-27.9
2991.51953125,44.0,37.7,6.8,-26.0
2991.5234375,42.0,34.6,6.4,-21.7
2991.52734375,39.3,27.9,6.4,-17.8
2991.53125,40.0,18.6,5.7,-11.9
2991.53515625,37.7,11.5,4.5,-9.2
2991.5390625,25.2,5.7,4.1,-3.7
2991.54296875,17.8,-0.6,3.3,-3.7
2991.546875,7.6,-4.9,0.6,-6.4
2991.55078125,-0.6,-12.3,-6.1,-1.4
2991.5546875,-9.6,-17.0,-8.8,-0.2
2991.55859375,-19.3,-18.9,-11.9,2.1
2991.5625,-30.3,-19.7,-11.1,6.8
2991.56640625,-40.8,-17.0,-6.4,9.2
2991.5703125,-47.9,-14.3,-1.8,11.5
2991.57421875,-54.9,-10.4,1.4,14.7
2991.578125,-56.5,-5.7,6.4,15.0
2991.58203125,-48.6,-0.6,14.3,13.1
2991.5859375,-36.1,4.1,20.9,10.0
2991.58984375,-29.1,11.9,27.9,13.1
2991.59375,-21.7,17.0,33.8,16.2
2991.59765625,-12.3,16.6,35.8,23.2
2991.6015625,-3.7,12.3,35.8,33.8
2991.60546875,4.1,15.8,37.3,28.7
2991.609375,19.3,20.5,36.1,18.9
2991.61328125,33.0,20.5,29.1,22.1
2991.6171875,36.9,22.1,26.8,18.6
2991.62109375,40.8,18.9,23.2,18.9
2991.625,37.3,13.1,17.8,23.6
2991.62890625,28.7,10.7,14.7,22.9
2991.6328125,26.8,6.1,11.5,19.3
2991.63671875,23.2,0.2,7.2,20.1
2991.640625,10.0,-0.2,3.7,22.1
2991.64453125,-2.1,-1.8,1.0,23.2
2991.6484375,-9.6,-7.2,-0.2,24.4
2991.65234375,-20.5,-10.0,-2.1,27.9
2991.65625,-34.2,-10.7,-3.3,31.1
2991.66015625,-42.8,-13.5,-1.0,32.2
2991.6640625,-51.4,-17.4,0.6,42.4
2991.66796875,-55.7,-15.0,4.9,43.2
2991.671875,-51.0,-6.8,13.1,33.8
2991.67578125,-38.5,-0.6,15.8,33.8
2991.6796875,-27.5,4.1,19.7,34.2
2991.68359375,-14.3,4.9,22.5,34.2
2991.6875,-4.9,1.4,21.3,35.8
2991.69140625,2.1,-1.8,20.1,36.1
2991.6953125,12.3,-2.9,20.9,30.7
2991.69921875,26.8,-3.7,21.7,25.2
2991.703125,40.4,-5.7,20.1,23.2
2991.70703125,44.7,-4.1,20.9,20.1
2991.7109375,45.5,-4.1,17.4,16.6
2991.71484375,46.7,-8.4,11.9,17.8
2991.71875,42.0,-13.5,10.4,17.4
2991.72265625,31.8,-12.3,6.8,11.9
2991.7265625,19.7,-15.0,2.5,13.5
2991.73046875,9.6,-17.0,1.4,8.0
2991.734375,0.6,-17.4,-1.8,0.6
2991.73828125,-7.6,-20.5,-2.5,0.6
2991.7421875,-16.6,-19.7,0.2,1.0
2991.74609375,-28.7,-15.0,3.7,2.5
2991.75,-38.9,-8.8,11.5,6.4
2991.75390625,-44.7,-0.6,18.2,12.7
2991.7578125,-49.0,7.6,24.8,17.0
2991.76171875,-49.0,15.8,31.1,24.8
2991.765625,-40.0,17.8,41.2,30.7
2991.76953125,-29.1,22.1,51.0,32.2
2991.7734375,-22.9,30.3,58.4,30.7
2991.77734375,-14.3,32.6,62.7,29.1
2991.78125,-3.7,27.9,63.9,29.9
2991.78515625,2.5,24.8,62.7,29.1
2991.7890625,2.5,20.5,62.7,31.8
2991.79296875,8.8,14.7,61.5,33.8
2991.796875,10.7,12.3,58.0,30.7
2991.80078125,15.0,4.5,48.3,33.0
2991.8046875,16.6,-5.7,40.0,31.8
2991.80859375,15.0,-15.4,33.0,27.9
2991.8125,9.6,-22.1,27.2,26.0
2991.81640625,2.5,-28.3,27.2,23.6
2991.8203125,-5.3,-31.1,29.5,22.9
2991.82421875,-22.1,-28.3,32.2,25.2
2991.828125,-37.3,-24.0,35.8,27.9
2991.83203125,-45.5,-18.9,42.4,25.6
2991.8359375,-50.2,-10.0,47.5,21.3
2991.83984375,-56.5,1.4,51.8,20.1
2991.84375,-58.0,12.7,57.6,17.0
2991.84765625,-55.7,19.3,61.9,17.8
2991.8515625,-51.8,23.2,65.8,22.1
2991.85546875,-44.7,33.0,69.0,15.0
2991.859375,-27.5,40.4,68.6,6.8
2991.86328125,-11.5,40.4,61.9,11.5
2991.8671875,4.1,40.0,52.9,11.1
2991.87109375,20.1,32.2,40.4,14.7
2991.875,28.3,19.7,27.5,20.9
2991.87890625,32.2,8.0,17.8,24.0
2991.8828125,37.3,-3.3,15.4,24.4
2991.88671875,39.7,-15.0,16.6,28.3
2991.890625,32.6,-18.9,18.6,31.8
2991.89453125,28.3,-21.3,19.7,32.2
2991.8984375,27.2,-28.3,17.8,30.7
2991.90234375,18.2,-37.3,14.7,29.1
2991.90625,3.3,-43.2,11.5,27.5
2991.91015625,-10.4,-49.0,11.1,22.1
2991.9140625,-29.1,-59.6,9.6,27.5
2991.91796875,-45.5,-60.4,7.6,24.8
2991.921875,-54.5,-57.6,7.6,13.5
2991.92578125,-61.1,-59.2,1.4,10.7
2991.9296875,-69.4,-58.4,-4.1,10.0
2991.93359375,-72.5,-58.8,-8.8,5.7
2991.9375,-72.5,-62.3,-12.7,5.3
2991.94140625,-74.0,-62.7,-16.6,6.8
2991.9453125,-68.6,-59.6,-19.3,2.1
2991.94921875,-53.3,-58.4,-19.7,-0.6
2991.953125,-40.8,-56.5,-21.3,-1.4
2991.95703125,-31.1,-51.0,-22.9,-6.4
2991.9609375,-18.2,-48.6,-24.0,-8.0
2991.96484375,-6.4,-51.0,-24.8,-3.7
2991.96875,0.2,-49.8,-23.2,0.2
2991.97265625,4.5,-45.9,-18.2,2.9
2991.9765625,2.5,-40.4,-10.4,8.4
2991.98046875,3.7,-34.2,-3.3,6.8
2991.984375,6.1,-27.9,0.2,3.3
2991.98828125,6.4,-25.6,1.8,6.8
2991.9921875,1.0,-21.3,5.3,8.8
2991.99609375,-9.2,-17.0,8.0,12.7
2992.0,-21.3,-11.1,10.7,16.6
2992.00390625,-29.1,-3.3,14.7,15.4
2992.0078125,-35.8,7.2,14.3,15.0
2992.01171875,-38.1,17.0,10.4,15.0
2992.015625,-31.1,20.1,9.2,15.8
2992.01953125,-21.7,22.5,6.1,13.9
2992.0234375,-16.2,27.5,1.4,13.5
2992.02734375,-7.6,31.5,-1.4,13.9
2992.03125,2.1,31.8,-2.9,14.3
2992.03515625,8.8,33.4,-4.5,13.5
2992.0390625,10.0,33.4,-4.9,13.1
2992.04296875,15.8,26.4,-2.9,8.4
2992.046875,20.5,22.5,-4.5,3.3
2992.05078125,25.2,14.7,-9.6,7.6
2992.0546875,27.9,8.8,-11.1,9.6
2992.05859375,26.0,6.8,-13.9,10.7
2992.0625,19.3,4.9,-17.8,13.1
2992.06640625,11.9,0.2,-19.7,12.7
2992.0703125,2.5,-4.1,-22.9,10.7
2992.07421875,-11.9,-6.4,-27.5,13.5
2992.078125,-28.7,-6.8,-27.2,15.4
2992.08203125,-38.1,-7.2,-22.9,12.7
2992.0859375,-46.7,-6.1,-18.6,7.2
2992.08984375,-56.8,-2.1,-13.5,4.1
2992.09375,-60.8,1.8,-10.7,0.6
2992.09765625,-57.6,3.7,-8.8,-0.2
2992.1015625,-54.5,5.7,-6.4,6.1
2992.10546875,-48.6,11.5,-1.8,2.9
2992.109375,-33.0,17.8,0.6,-4.1
2992.11328125,-17.8,18.2,0.2,1.0
2992.1171875,-4.5,20.5,1.0,-1.4
2992.12109375,11.1,19.7,2.9,-3.3
2992.125,20.5,17.8,4.1,-3.3
2992.12890625,24.0,18.6,7.2,-7.2
2992.1328125,30.7,18.2,8.8,-15.4
2992.13671875,34.2,17.0,7.6,-18.9
2992.140625,31.1,20.9,3.3,-19.3
2992.14453125,29.5,26.8,1.0,-23.2
2992.1484375,32.6,25.2,-1.8,-25.2
2992.15234375,30.3,22.1,-6.4,-24.4
2992.15625,18.9,20.9,-8.8,-25.6
2992.16015625,6.1,18.2,-9.6,-29.9
2992.1640625,-10.0,10.7,-10.4,-26.4
2992.16796875,-26.0,12.7,-8.8,-30.3
2992.171875,-33.8,18.6,-6.4,-43.2
2992.17578125,-32.2,18.9,-10.0,-43.6
2992.1796875,-29.9,22.9,-14.7,-41.2
2992.18359375,-21.7,27.5,-17.0,-39.3
2992.1875,-8.8,31.8,-16.6,-34.2
2992.19140625,1.4,38.9,-13.1,-31.1
2992.1953125,13.1,46.7,-4.5,-33.4
2992.19921875,30.3,46.3,4.9,-34.6
2992.203125,43.6,40.8,13.1,-30.7
2992.20703125,49.4,37.7,19.3,-29.5
