t,raw_ch0,clean_ch0,raw_ch1,clean_ch1,raw_ch2,clean_ch2
2994.445,29.11,25.42,4.1,3.74,-17.0,-13.01
2994.449,34.97,26.26,3.71,4.56,-13.48,-11.12
2994.453,37.7,27.59,4.88,6.15,-12.31,-9.54
2994.457,35.36,29.1,9.57,8.37,-10.35,-8.53
2994.461,36.92,30.51,13.48,10.33,-9.96,-8.28
2994.465,39.27,31.21,11.92,11.26,-10.35,-8.76
2994.469,40.44,30.24,11.92,11.36,-11.53,-9.6
2994.473,38.88,27.18,15.04,11.52,-9.18,-10.21
2994.477,32.63,22.96,16.61,12.38,-8.79,-10.1
2994.48,31.45,19.48,18.17,13.61,-8.4,-9.21
2994.484,30.28,18.16,21.68,14.16,-3.71,-7.91
2994.488,33.02,19.02,18.56,13.13,-3.71,-6.7
2994.492,34.19,20.8,15.04,10.5,-3.71,-5.79
2994.496,32.63,22.06,12.31,7.11,-4.49,-5.05
2994.5,32.23,22.0,8.79,4.05,-2.54,-4.29
2994.504,34.19,20.64,5.67,2.01,-1.37,-3.46
2994.508,31.84,18.55,6.45,1.08,-0.98,-2.66
2994.512,25.98,16.32,8.79,1.0,0.59,-1.94
2994.516,27.55,14.02,6.84,1.64,1.76,-1.26
2994.52,25.98,11.06,6.45,2.88,0.98,-0.48
2994.523,17.78,6.76,11.14,4.31,3.32,0.57
2994.527,13.48,1.08,12.7,5.22,5.67,2.13
2994.531,8.79,-5.07,10.35,5.29,6.84,4.59
2994.535,3.32,-10.09,10.35,5.02,9.18,8.19
2994.539,-4.1,-12.52,9.18,5.29,13.09,12.67
2994.543,-3.32,-11.98,6.84,6.48,15.82,17.13
2994.547,-2.93,-9.59,8.79,8.1,16.61,20.57
2994.551,-3.71,-7.26,6.84,9.24,15.43,22.45
2994.555,-3.32,-6.44,2.93,9.26,14.65,22.96
2994.559,-7.62,-7.16,0.59,8.19,11.14,22.71
2994.562,-15.43,-8.44,-3.32,6.46,7.62,22.24
2994.566,-16.61,-9.33,-9.57,4.6,4.1,21.72
2994.57,-17.78,-9.49,-16.61,2.9,-0.2,20.99
2994.574,-25.2,-8.8,-20.51,1.3,-6.45,19.76
2994.578,-27.16,-6.92,-24.81,-0.39,-12.7,17.94
2994.582,-25.98,-3.82,-31.06,-2.29,-15.82,15.68
2994.586,-22.08,-0.54,-34.58,-4.34,-18.95,13.44
2994.59,-21.68,0.93,-35.75,-6.49,-20.51,11.92
2994.594,-23.25,-1.04,-35.36,-8.54,-20.9,11.84
2994.598,-26.37,-6.19,-36.53,-9.77,-19.34,13.4
2994.602,-31.84,-12.11,-38.88,-9.06,-15.04,15.77
2994.605,-35.75,-15.57,-30.28,-5.87,-11.14,17.41
2994.609,-32.63,-14.71,-24.03,-1.05,-8.79,16.99
2994.613,-27.16,-10.3,-20.12,3.48,-14.65,14.55
2994.617,-22.86,-5.01,-18.56,5.87,-17.39,11.59
2994.621,-18.95,-1.23,-20.9,5.39,-19.73,10.01
2994.625,-19.73,0.4,-24.81,2.61,-20.12,10.85
2994.629,-23.64,0.89,-27.16,-1.12,-17.39,13.67
2994.633,-20.12,1.43,-31.45,-4.2,-15.04,16.96
2994.637,-17.39,2.47,-36.92,-5.58,-13.87,19.17
2994.641,-20.9,3.98,-36.92,-5.32,-16.61,19.45
2994.645,-22.47,5.88,-34.97,-4.6,-18.56,17.94
2994.648,-18.17,7.84,-36.92,-4.74,-20.12,15.44
2994.652,-15.82,8.84,-38.49,-6.03,-23.64,12.86
2994.656,-17.39,7.54,-37.7,-7.44,-24.03,10.83
2994.66,-18.56,3.42,-35.75,-7.41,-22.86,9.65
2994.664,-25.2,-2.45,-35.75,-5.11,-25.59,9.3
2994.668,-31.84,-7.86,-30.28,-1.15,-22.86,9.6
2994.672,-32.23,-10.86,-22.47,2.63,-19.34,10.33
2994.676,-29.5,-11.02,-21.29,4.5,-19.34,11.27
2994.68,-27.55,-9.52,-18.95,4.04,-17.0,12.18
2994.684,-23.64,-8.14,-18.56,2.38,-11.92,12.68
2994.688,-19.73,-8.01,-20.51,1.12,-11.14,12.38
2994.691,-22.86,-8.98,-17.78,1.06,-11.53,11.29
2994.695,-24.42,-10.02,-12.7,1.89,-12.31,9.95
2994.699,-18.56,-10.1,-13.48,2.87,-11.53,9.08
2994.703,-14.65,-8.78,-11.92,3.6,-9.96,8.88
2994.707,-12.7,-6.18,-6.45,4.03,-5.67,8.82
2994.711,-6.45,-2.92,-2.54,4.14,-3.32,8.11
2994.715,-1.37,-0.03,-2.93,4.11,-5.27,6.5
2994.719,-0.2,1.38,-3.71,4.45,-8.01,4.53
2994.723,-0.59,1.0,-2.54,5.73,-10.74,2.97
2994.727,-6.84,-0.26,-3.32,7.98,-13.87,1.97
2994.73,-8.79,-0.71,-3.32,10.29,-15.04,1.02
2994.734,-7.23,0.79,0.2,11.2,-17.39,-0.5
2994.738,-2.93,4.01,-4.1,9.64,-21.29,-2.51
2994.742,-0.2,7.63,-8.4,5.81,-22.08,-4.17
2994.746,0.2,10.1,-11.53,1.17,-23.64,-4.58
2994.75,1.37,10.55,-17.39,-2.48,-22.86,-3.64
2994.754,1.76,9.23,-19.73,-4.13,-19.73,-2.2
2994.758,0.2,7.35,-15.04,-4.13,-17.78,-1.46
2994.762,-0.2,6.42,-11.92,-3.61,-17.39,-2.11
2994.766,2.93,7.18,-13.48,-3.42,-18.56,-3.99
2994.77,7.23,8.98,-13.48,-3.62,-18.95,-6.46
2994.773,7.62,10.21,-10.35,-3.9,-20.12,-8.92
2994.777,6.84,9.31,-8.79,-4.13,-21.68,-10.98
2994.781,6.84,5.81,-9.18,-4.28,-21.68,-12.32
2994.785,2.15,0.74,-9.57,-4.18,-22.08,-12.67
2994.789,-5.67,-3.87,-8.79,-3.7,-22.86,-12.06
2994.793,-7.23,-6.15,-8.79,-3.02,-20.51,-11.03
2994.797,-7.62,-5.59,-7.23,-2.61,-19.34,-10.35
2994.801,-2.15,-3.25,-6.84,-2.77,-20.9,-10.49
2994.805,1.37,-0.74,-8.01,-3.3,-19.73,-11.29
2994.809,2.54,0.94,-6.45,-3.62,-19.34,-12.2
2994.812,2.15,1.82,-4.49,-3.23,-19.34,-12.76
2994.816,5.27,2.36,-2.54,-2.03,-18.95,-12.95
2994.82,9.96,2.97,-1.37,-0.27,-17.0,-13.15
2994.824,8.79,3.92,2.15,1.62,-18.17,-13.81
2994.828,9.18,5.43,6.84,3.36,-19.73,-15.24
2994.832,12.7,7.18,6.06,5.02,-18.95,-17.33
2994.836,16.21,8.11,8.4,6.73,-20.9,-19.49
2994.84,13.87,6.92,11.14,8.26,-22.86,-20.68
2994.844,9.96,3.32,13.48,8.96,-21.68,-19.9
2994.848,5.67,-1.39,11.14,8.36,-19.73,-16.92
2994.852,-0.59,-5.0,5.67,6.75,-17.78,-12.82
2994.855,-3.32,-5.83,6.45,4.95,-11.92,-9.54
2994.859,2.54,-4.05,6.06,3.64,-10.35,-8.62
2994.863,6.06,-1.45,6.06,2.99,-12.31,-10.05
2994.867,9.18,0.01,8.01,2.71,-11.92,-12.26
2994.871,11.53,-0.27,10.35,2.43,-11.14,-13.46
2994.875,10.74,-1.34,9.57,2.03,-8.79,-13.02
2994.879,7.62,-1.77,12.31,1.82,-7.23,-11.79
2994.883,13.09,-1.1,13.48,2.36,-4.88,-11.19
2994.887,17.78,0.01,12.7,3.89,-5.67,-12.0
2994.891,15.04,0.8,16.61,5.81,-7.62,-13.87
2994.895,13.48,1.13,20.51,6.78,-9.18,-15.64
2994.898,15.82,1.1,18.17,5.78,-8.4,-16.24
2994.902,16.61,0.23,13.87,3.11,-7.62,-15.11
2994.906,13.09,-2.47,12.7,0.26,-4.1,-12.32
2994.91,9.96,-7.36,14.26,-1.14,0.98,-8.33
2994.914,4.88,-13.29,12.7,-0.42,6.06,-3.94
2994.918,-0.2,-17.85,17.39,1.82,9.96,-0.18
2994.922,-0.2,-18.9,22.86,4.23,16.21,1.95
2994.926,6.06,-16.03,23.64,5.75,15.43,2.05
2994.93,9.96,-10.85,24.81,6.29,13.87,0.55
2994.934,15.82,-5.95,26.37,6.43,13.87,-1.53
2994.938,22.86,-3.25,25.98,6.57,13.09,-3.35
2994.941,20.51,-2.86,27.94,6.32,13.09,-4.64
2994.945,18.17,-3.38,30.67,5.06,11.92,-5.57
2994.949,23.64,-3.19,24.42,2.82,11.53,-6.39
2994.953,24.81,-1.52,20.12,0.48,10.74,-7.14
2994.957,23.25,1.26,21.29,-1.18,9.57,-7.73
2994.961,27.94,3.97,21.29,-2.24,10.35,-7.91
2994.965,31.06,5.17,20.12,-3.39,11.53,-7.42
2994.969,31.45,4.08,19.34,-5.06,13.87,-6.16
2994.973,31.45,1.41,19.73,-6.99,18.17,-4.36
2994.977,27.94,-0.69,18.95,-8.57,20.51,-2.7
2994.98,27.94,0.07,17.39,-9.5,21.68,-1.95
2994.984,33.8,4.45,19.34,-9.92,21.29,-2.54
2994.988,42.0,11.16,16.61,-10.14,18.17,-4.21
2994.992,45.91,17.9,15.04,-10.23,15.43,-6.21
2994.996,48.64,22.88,16.61,-9.97,13.87,-7.76
2995.0,50.99,25.51,15.43,-9.21,11.53,-8.45
2995.004,52.94,26.35,13.09,-8.23,11.53,-8.27
2995.008,49.82,26.48,15.04,-7.76,10.35,-7.48
2995.012,46.69,26.89,14.26,-8.31,9.18,-6.38
2995.016,47.47,27.79,7.62,-9.59,8.4,-5.36
2995.02,46.69,28.45,2.54,-10.69,7.23,-4.78
2995.023,41.22,27.71,2.93,-11.05,4.88,-4.72
2995.027,35.36,24.87,0.2,-11.07,0.59,-4.79
2995.031,28.33,20.28,-5.67,-11.61,-1.76,-4.24
2995.035,20.12,15.34,-9.96,-12.96,-3.32,-2.54
2995.039,11.53,11.76,-14.65,-14.57,-4.88,0.04
2995.043,9.96,10.59,-17.78,-15.52,-2.15,2.39
2995.047,11.53,11.55,-14.65,-15.33,-0.59,3.18
2995.051,16.61,13.36,-11.92,-14.19,-0.2,1.73
2995.055,21.29,14.88,-9.57,-12.75,-1.37,-1.55
2995.059,23.64,15.87,-4.49,-11.61,-2.15,-5.48
2995.062,24.03,16.84,0.2,-10.95,-2.93,-8.8
2995.066,31.06,18.06,1.37,-10.47,-2.54,-10.86
2995.07,37.31,19.29,3.71,-9.65,-0.2,-11.71
2995.074,36.92,20.24,8.4,-8.34,1.37,-11.89
2995.078,36.92,21.07,11.92,-6.89,0.98,-12.02
2995.082,40.44,21.95,12.31,-5.73,2.54,-12.47
2995.086,42.39,22.46,13.09,-5.01,2.54,-13.15
2995.09,40.44,21.75,14.26,-4.49,1.76,-13.65
2995.094,39.27,19.49,16.61,-3.88,2.93,-13.47
2995.098,35.75,16.59,15.82,-2.9,1.76,-12.53
2995.102,30.67,14.96,12.7,-1.43,0.2,-11.41
2995.105,27.16,16.27,13.48,0.42,-0.59,-11.04
2995.109,31.06,20.63,13.87,2.3,-3.71,-11.96
2995.113,33.8,26.33,11.14,3.89,-10.74,-13.75
2995.117,36.53,31.05,9.96,5.04,-13.48,-15.38
2995.121,38.49,33.4,8.79,5.65,-15.43,-16.18
2995.125,34.97,33.61,7.62,5.43,-17.78,-16.41
2995.129,28.72,32.77,6.06,4.28,-19.34,-16.95
2995.133,30.28,31.52,0.98,2.68,-22.08,-18.4
2995.137,28.33,29.73,-4.1,1.66,-28.33,-20.53
2995.141,18.56,27.23,-5.67,1.95,-34.19,-22.54
2995.145,10.74,24.46,-6.84,3.23,-37.31,-23.86
2995.148,7.62,21.98,-8.79,4.31,-40.44,-24.39
2995.152,3.32,19.61,-12.7,4.1,-42.39,-24.22
2995.156,-2.15,16.49,-14.65,2.28,-43.17,-23.07
2995.16,-5.27,12.03,-18.17,-0.52,-42.0,-20.42
2995.164,-15.43,6.85,-25.59,-3.25,-40.44,-16.07
2995.168,-22.47,2.49,-27.16,-5.2,-35.75,-10.72
2995.172,-23.64,0.17,-27.94,-6.33,-28.72,-5.75
2995.176,-22.47,-0.19,-30.28,-7.03,-28.33,-2.33
2995.18,-25.2,0.14,-30.28,-7.54,-27.16,-0.68
2995.184,-24.42,-0.35,-30.67,-7.83,-25.2,-0.06
2995.188,-25.98,-2.49,-32.63,-7.88,-25.59,0.53
2995.191,-33.41,-6.19,-33.41,-8.02,-24.81,1.74
2995.195,-41.61,-10.91,-32.63,-8.63,-25.59,3.61
2995.199,-45.52,-16.18,-39.66,-9.56,-27.16,5.69
2995.203,-54.51,-21.64,-46.69,-10.16,-28.72,7.35
2995.207,-68.57,-26.86,-47.86,-10.03,-31.06,8.25
2995.211,-76.39,-31.6,-48.64,-9.52,-34.58,8.75
2995.215,-83.81,-36.3,-55.68,-9.22,-38.49,9.82
2995.219,-92.41,-41.79,-60.76,-9.16,-40.44,12.38
2995.223,-101.78,-48.18,-60.76,-8.72,-39.27,16.39
2995.227,-113.11,-53.93,-63.88,-7.38,-36.92,20.64
2995.23,-117.8,-56.52,-65.05,-5.39,-36.14,23.47
2995.234,-115.46,-54.25,-60.37,-3.73,-35.36,23.91
2995.238,-104.91,-47.46,-59.98,-3.3,-37.7,22.16
2995.242,-93.19,-38.18,-59.58,-4.28,-36.53,19.17
2995.246,-82.25,-28.79,-54.9,-5.97,-36.53,15.67
2995.25,-68.96,-20.78,-52.55,-7.54,-34.58,11.73
2995.254,-54.11,-14.29,-50.21,-8.7,-32.63,7.17
2995.258,-45.13,-8.46,-43.57,-9.78,-33.41,2.17
2995.262,-34.97,-2.09,-36.92,-11.01,-34.19,-2.56
2995.266,-19.34,5.33,-35.75,-11.9,-31.06,-6.47
2995.27,-5.67,13.16,-31.45,-11.56,-27.94,-9.73
2995.273,3.71,19.82,-22.08,-9.73,-26.76,-13.11
2995.277,11.92,23.72,-15.04,-7.27,-26.37,-17.0
2995.281,15.43,24.06,-11.14,-5.31,-28.33,-20.76
2995.285,14.65,21.34,-9.18,-4.1,-30.28,-23.03
2995.289,9.96,17.15,-8.01,-2.85,-29.11,-22.88
2995.293,6.45,13.16,-4.49,-0.9,-22.86,-20.58
2995.297,4.88,10.02,0.2,1.33,-19.34,-17.21
2995.301,2.15,7.0,0.2,2.4,-17.78,-13.61
2995.305,-4.49,2.74,-5.67,1.01,-16.21,-9.64
2995.309,-18.56,-3.52,-14.26,-2.91,-17.39,-4.63
2995.312,-35.75,-11.58,-25.98,-7.88,-19.34,1.73
2995.316,-48.25,-20.72,-37.31,-11.62,-15.04,8.77
2995.32,-59.98,-30.18,-43.17,-12.43,-13.09,15.3
2995.324,-75.6,-39.09,-41.61,-10.11,-14.26,20.35
2995.328,-86.94,-46.41,-40.83,-5.87,-13.87,23.68
2995.332,-94.75,-51.49,-42.78,-1.32,-14.65,25.47
2995.336,-104.13,-54.83,-43.96,2.35,-19.73,26.02
2995.34,-112.72,-57.99,-47.08,4.65,-25.98,25.78
2995.344,-122.49,-62.53,-50.99,5.65,-31.06,25.58
2995.348,-134.99,-68.58,-56.07,6.0,-37.31,26.38
2995.352,-146.72,-74.4,-63.88,6.75,-42.78,28.45
2995.355,-153.36,-77.37,-63.88,8.72,-40.44,30.76
2995.359,-153.75,-75.84,-61.54,11.86,-40.44,31.33
2995.363,-149.06,-70.43,-58.8,15.35,-46.69,28.67
2995.367,-140.46,-63.64,-54.51,18.21,-50.6,23.1
2995.371,-131.48,-58.13,-53.72,20.03,-55.29,16.66
2995.375,-129.91,-55.05,-50.6,20.97,-58.8,11.82
2995.379,-127.96,-54.0,-43.96,21.5,-56.85,10.0
2995.383,-120.15,-54.14,-40.05,22.26,-50.99,10.95
2995.387,-113.89,-55.16,-35.75,23.84,-43.96,13.14
2995.391,-114.68,-57.21,-26.76,26.46,-38.49,14.83
2995.395,-115.07,-60.35,-17.39,29.79,-32.63,15.1
2995.398,-113.5,-64.48,-13.87,33.17,-30.28,14.28
2995.402,-116.24,-69.47,-8.4,35.97,-29.5,13.67
2995.406,-119.76,-74.94,-0.98,37.82,-25.2,14.61
2995.41,-118.97,-79.81,2.93,38.6,-17.0,17.41
2995.414,-118.58,-82.36,4.1,38.5,-12.31,20.94
2995.418,-116.24,-80.89,8.4,37.81,-4.88,23.14
2995.422,-104.13,-74.84,12.7,36.77,0.2,22.27
2995.426,-88.89,-65.26,13.09,35.5,-2.54,18.17
2995.43,-76.39,-54.28,18.56,34.11,-4.49,12.37
2995.434,-59.19,-44.01,22.08,32.83,-2.15,7.03
2995.438,-43.17,-35.63,24.03,31.8,-0.2,3.64
2995.441,-34.97,-29.19,31.06,30.97,3.71,2.39
2995.445,-25.59,-24.07,38.1,30.3,8.79,2.51
2995.449,-11.14,-19.68,40.44,29.99,16.21,3.0
2995.453,-1.37,-15.71,43.96,30.25,20.51,3.12
2995.457,3.71,-11.93,52.94,30.74,25.98,2.6
2995.461,13.48,-8.31,59.58,30.33,31.84,1.61
2995.465,21.29,-5.28,58.02,28.04,32.23,0.67
2995.469,24.03,-3.55,55.29,24.01,34.19,0.46
2995.473,25.98,-3.36,52.16,19.66,35.36,1.36
2995.477,20.51,-4.02,45.91,16.84,34.97,3.09
2995.48,17.39,-4.46,43.96,16.72,33.8,4.61
2995.484,18.17,-4.24,48.25,19.22,36.14,4.72
2995.488,20.51,-3.89,49.43,23.21,31.06,2.75
2995.492,18.17,-4.21,52.94,27.23,27.55,-1.05
2995.496,15.43,-5.32,58.41,30.2,23.64,-5.66
2995.5,16.61,-6.58,59.58,31.77,20.51,-10.0
2995.504,19.34,-7.11,60.76,32.18,19.34,-13.4
2995.508,22.47,-6.19,65.84,31.77,20.51,-15.62
2995.512,28.33,-3.48,69.74,30.75,23.25,-16.77
2995.516,38.1,0.98,69.74,29.21,26.76,-17.05
2995.52,49.43,6.7,71.7,27.04,32.63,-16.77
2995.523,58.41,12.92,76.0,23.88,38.1,-16.23
2995.527,68.18,18.88,75.21,19.31,42.0,-15.57
2995.531,75.6,24.2,69.35,13.63,44.35,-14.71
2995.535,79.9,29.06,61.93,8.13,43.57,-13.43
2995.539,78.73,34.05,53.72,4.45,40.44,-11.74
2995.543,79.12,39.63,48.25,3.44,40.44,-10.05
2995.547,83.03,45.52,49.43,4.59,36.92,-8.95
2995.551,88.5,50.76,48.25,6.68,34.97,-8.76
2995.555,92.41,54.48,49.04,8.76,36.53,-9.42
2995.559,93.97,56.58,52.94,10.71,35.36,-10.51
2995.562,93.19,57.48,58.02,13.0,34.97,-11.48
2995.566,99.44,57.43,62.32,16.08,38.88,-11.95
2995.57,104.91,56.41,69.35,19.7,42.78,-11.86
2995.574,104.91,54.92,77.95,22.76,47.08,-11.52
2995.578,106.86,54.27,83.81,23.73,50.6,-11.48
2995.582,112.33,55.64,83.81,21.61,54.11,-12.21
2995.586,118.97,58.72,80.68,16.47,56.46,-13.76
2995.59,124.05,61.56,77.56,9.17,55.68,-15.49
2995.594,127.57,61.94,70.53,0.73,58.02,-16.28
2995.598,125.62,59.32,62.32,-8.05,58.41,-15.17
2995.602,117.41,55.25,49.82,-16.79,58.8,-12.03
2995.605,109.99,52.05,40.05,-25.48,62.71,-7.57
2995.609,104.91,50.58,26.37,-34.18,63.49,-2.65
2995.613,98.27,49.35,10.74,-42.54,58.8,2.59
2995.617,87.72,45.77,-2.93,-49.62,59.19,8.66
2995.621,74.43,38.38,-17.0,-54.33,58.8,15.72
2995.625,53.33,28.05,-24.42,-56.13,59.19,22.87
2995.629,32.63,16.99,-28.72,-55.26,58.8,28.53
2995.633,20.12,6.8,-34.19,-52.23,54.11,31.58
2995.637,6.45,-2.42,-39.27,-47.51,47.47,32.26
2995.641,-13.09,-11.29,-38.1,-41.72,39.66,31.84
2995.645,-31.06,-19.99,-37.7,-35.83,32.63,31.57
2995.648,-44.74,-28.25,-42.39,-30.87,25.98,31.84
2995.652,-59.98,-35.88,-46.69,-27.29,18.56,32.18
2995.656,-73.65,-42.95,-50.21,-24.71,11.92,31.95
2995.66,-83.81,-49.11,-52.94,-22.36,4.49,30.92
2995.664,-95.53,-53.16,-57.63,-19.83,-2.93,29.27
2995.668,-101.39,-53.47,-57.63,-17.6,-7.23,27.13
2995.672,-95.53,-49.02,-57.63,-16.79,-11.92,24.28
2995.676,-88.11,-40.07,-63.88,-18.26,-18.56,20.22
2995.68,-79.12,-27.93,-64.66,-21.71,-25.59,14.51
2995.684,-62.71,-14.19,-68.57,-25.65,-30.28,6.99
2995.688,-45.52,-0.15,-72.87,-28.45,-37.7,-2.02
